City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bambous Virieux,-20.3428,57.7575,79.21,83,40,14.97,MU,1651722848
Butaritari,3.0707,172.7902,81.64,77,37,13.82,KI,1651722849
Teya,60.3778,92.6267,43.29,73,94,10.11,RU,1651722849
Hong Kong,22.2855,114.1577,82.45,69,100,11.01,HK,1651722578
Cairns,-16.9167,145.7667,88.11,65,38,10.36,AU,1651722850
Araouane,18.9048,-3.5265,84.07,23,40,4.56,ML,1651722850
Lavrentiya,65.5833,-171.0,28.71,80,28,5.21,RU,1651722851
Belmonte,-15.8631,-38.8828,77.59,88,4,9.37,BR,1651722851
Codrington,-38.2667,141.9667,55.04,58,94,8.41,AU,1651722852
Kahului,20.8947,-156.47,78.82,73,40,25.32,US,1651722632
Alyangula,-13.8483,136.4192,87.67,66,40,10.36,AU,1651722852
Port Augusta,-32.5,137.7667,59.94,49,49,18.99,AU,1651722627
Bariloche,-41.1456,-71.3082,49.75,76,40,6.11,AR,1651722842
Meerane,50.85,12.4667,51.84,96,100,3.44,DE,1651722853
Bodden Town,19.2833,-81.25,82.4,80,20,13.8,KY,1651722853
Bambanglipuro,-7.95,110.2833,85.64,69,98,6.98,ID,1651722853
Torrington,41.8007,-73.1212,55.69,92,80,5.01,US,1651722791
Tessalit,20.1986,1.0114,83.62,20,98,7.54,ML,1651722854
Walvis Bay,-22.9575,14.5053,70.75,35,0,5.75,NA,1651722640
Port Alfred,-33.5906,26.891,64.45,82,52,6.2,ZA,1651722854
Albany,42.6001,-73.9662,54.52,92,97,4.03,US,1651722576
Giyani,-23.3025,30.7187,60.37,83,0,3.13,ZA,1651722855
Hermiston,45.8404,-119.2895,69.64,56,94,3.06,US,1651722855
Asău,46.4333,26.4,46.96,83,68,3.65,RO,1651722856
Padang,-0.9492,100.3543,87.85,66,78,4.59,ID,1651722645
Kakamega,0.2842,34.7523,61.32,91,99,3.04,KE,1651722856
Puerto Ayora,-0.7393,-90.3518,73.31,91,57,5.08,EC,1651722857
Gravdal,68.1214,13.5031,33.69,100,100,11.5,NO,1651722857
São João da Barra,-21.6403,-41.0511,75.85,85,59,12.44,BR,1651722858
Saint-Philippe,-21.3585,55.7679,72.99,85,43,15.59,RE,1651722858
Kondopoga,62.2057,34.2614,31.69,73,19,4.21,RU,1651722858
Hamilton,39.1834,-84.5333,56.73,85,100,10.36,US,1651722859
Pampa,35.5362,-100.9599,51.84,100,100,17.27,US,1651722859
Rio Grande,-32.035,-52.0986,62.58,80,63,7.27,BR,1651722860
Tucuruí,-3.7661,-49.6725,73.89,96,100,2.19,BR,1651722860
Laas,46.6166,10.7002,49.08,91,70,1.16,IT,1651722861
Samarai,-10.6167,150.6667,82.92,78,79,9.55,PG,1651722861
Fortuna,40.5982,-124.1573,52.93,88,98,1.01,US,1651722861
Nouadhibou,20.931,-17.0347,62.92,85,0,19.08,MR,1651722862
Hilo,19.7297,-155.09,77.29,94,100,0.0,US,1651722664
Carnarvon,-24.8667,113.6333,82.47,30,40,18.41,AU,1651722863
Srandakan,-7.9386,110.2506,85.78,69,98,6.91,ID,1651722863
Kefamenanu,-9.4467,124.4781,83.88,64,81,8.48,ID,1651722864
Porto-Novo,6.4965,2.6036,76.82,90,100,1.54,BJ,1651722410
Hailin,44.5833,129.4167,84.0,18,90,23.15,CN,1651722864
Guadalajara,20.6667,-103.3333,71.53,28,95,4.5,MX,1651722661
Haldībāri,26.3333,88.7667,84.87,50,41,10.65,IN,1651722865
Ubrique,36.6778,-5.446,51.87,89,0,4.32,ES,1651722865
Nikolskoye,59.7035,30.7861,40.71,57,97,7.34,RU,1651722865
Ancud,-41.8697,-73.8203,53.42,98,100,6.53,CL,1651722866
Avarua,-21.2078,-159.775,82.45,74,41,5.75,CK,1651722866
Leningradskiy,69.3833,178.4167,23.27,90,85,10.42,RU,1651722640
Chui,-33.6971,-53.4616,54.95,82,0,2.37,UY,1651722638
Tommot,58.9564,126.2925,39.49,74,100,12.48,RU,1651722867
Boda,4.3189,17.4695,70.32,90,46,1.77,CF,1651722867
Coari,-4.085,-63.1414,72.39,98,93,2.64,BR,1651722868
Nālūt,30.3333,10.85,72.39,22,45,24.11,LY,1651722868
Kaitangata,-46.2817,169.8464,61.5,67,23,2.62,NZ,1651722868
Trebinje,42.7119,18.3442,50.36,87,20,5.75,BA,1651722869
Ust'-Kulom,61.6864,53.6902,32.14,64,58,7.63,RU,1651722873
Balakhta,55.38,91.6,49.48,31,1,8.93,RU,1651722873
Chara,56.9064,118.2631,35.94,41,98,2.66,RU,1651722874
Ilanskiy,56.2358,96.065,47.55,44,9,12.28,RU,1651722874
Oistins,13.0667,-59.5333,78.89,83,40,13.8,BB,1651722874
Kruisfontein,-34.0033,24.7314,55.89,86,55,4.23,ZA,1651722875
Iberia,29.9502,-91.7507,75.06,92,20,8.21,US,1651722875
Montbéliard,47.5167,6.8,52.75,98,100,2.62,FR,1651722876
Dawei,14.0833,98.2,92.97,46,60,3.13,MM,1651722876
Ngunguru,-35.6167,174.5,65.66,71,7,12.55,NZ,1651722876
Trani,41.2727,16.4154,54.86,75,52,1.99,IT,1651722877
Gornopravdinsk,60.05,69.9,54.1,46,56,11.23,RU,1651722877
Rincon,32.296,-81.2354,75.85,80,15,4.23,US,1651722877
Khatanga,71.9667,102.5,23.61,80,30,15.35,RU,1651722878
Kusa,55.3383,59.4406,53.67,58,97,8.32,RU,1651722878
Taoudenni,22.6783,-3.9836,82.13,15,35,3.06,ML,1651722879
Rusape,-18.5278,32.1284,50.7,96,69,1.32,ZW,1651722879
Paso de Carrasco,-34.8603,-56.0522,53.26,100,3,2.3,UY,1651722866
Pauini,-7.7136,-66.9764,71.89,95,96,1.43,BR,1651722880
Pangnirtung,66.1451,-65.7125,7.9,89,100,4.99,CA,1651722880
Najrān,17.4924,44.1277,72.25,21,0,1.59,SA,1651722880
Florianópolis,-27.6146,-48.5012,64.69,94,100,19.57,BR,1651722881
Paamiut,61.994,-49.6678,25.0,55,100,8.32,GL,1651722881
Labuhan,-6.8844,112.2051,86.02,65,86,3.02,ID,1651722882
Baykit,61.67,96.37,43.05,71,84,9.37,RU,1651722882
Tiksi,71.6872,128.8694,19.76,89,100,4.23,RU,1651722882
Altamira,-3.2033,-52.2064,72.5,98,96,0.87,BR,1651722606
Mehamn,71.0357,27.8492,24.75,63,40,12.66,NO,1651722883
Ukiah,39.1502,-123.2078,60.37,79,54,3.71,US,1651722613
Grindavik,63.8424,-22.4338,33.75,80,0,4.61,IS,1651722884
Bertoua,4.5833,13.6833,67.19,96,96,2.13,CM,1651722884
Narsaq,60.9167,-46.05,29.79,49,100,5.64,GL,1651722884
Gisborne,-38.6533,178.0042,61.61,73,59,5.23,NZ,1651722885
Lorengau,-2.0226,147.2712,83.71,78,79,4.56,PG,1651722885
Catuday,16.2923,119.8062,83.91,66,94,6.17,PH,1651722885
Vardø,70.3705,31.1107,27.21,73,89,8.7,NO,1651722886
Coyhaique,-45.5752,-72.0662,46.35,61,0,6.91,CL,1651722886
Riachão das Neves,-11.7461,-44.91,75.31,53,84,2.37,BR,1651722887
Airai,-8.9266,125.4092,72.3,66,100,4.36,TL,1651722887
Bubaque,11.2833,-15.8333,77.77,67,0,10.65,GW,1651722888
Sorong,-0.8833,131.25,85.46,69,73,5.99,ID,1651722888
Turukhansk,65.8167,87.9833,36.66,93,100,22.64,RU,1651722888
Bengkulu,-3.8004,102.2655,84.81,65,80,4.16,ID,1651722889
Vila Velha,-20.3297,-40.2925,80.55,78,40,9.22,BR,1651722889
Nanortalik,60.1432,-45.2371,31.26,85,100,5.59,GL,1651722890
Lüderitz,-26.6481,15.1594,68.2,44,0,4.0,NA,1651722890
Banda Aceh,5.5577,95.3222,84.54,73,100,13.91,ID,1651722890
Barrhead,55.7992,-4.3929,50.05,83,75,4.61,GB,1651722891
Kavieng,-2.5744,150.7967,84.72,74,100,12.5,PG,1651722891
Luba,3.4568,8.5547,73.29,77,100,5.21,GQ,1651722892
Sokolo,14.7328,-6.1219,87.28,21,73,11.95,ML,1651722892
Olafsvik,64.8945,-23.7142,35.28,74,99,9.15,IS,1651722892
Tasiilaq,65.6145,-37.6368,11.14,86,51,4.68,GL,1651722893
Chilca,-12.5211,-76.7372,63.64,91,14,4.25,PE,1651722893
Aklavik,68.2191,-135.0107,29.71,88,100,11.21,CA,1651722894
East London,-33.0153,27.9116,63.5,77,14,3.33,ZA,1651722894
Terrace,54.5163,-128.6035,46.31,70,100,17.27,CA,1651722880
Vao,-22.6667,167.4833,75.6,76,23,14.88,NC,1651722895
Le Port,-20.9373,55.2919,76.24,73,14,5.7,RE,1651722895
Namatanai,-3.6667,152.4333,84.54,71,94,9.24,PG,1651722895
Ixtapa,20.7,-105.2,70.52,86,57,1.23,MX,1651722896
Challans,46.8436,-1.8749,48.4,89,85,6.08,FR,1651722896
Polyarny,69.1989,33.4478,26.69,74,100,9.78,RU,1651722897
Geraldton,-28.7667,114.6,73.81,35,0,26.46,AU,1651722897
Beyneu,45.3167,55.2,63.81,36,3,12.24,KZ,1651722897
Kajaani,64.2273,27.7285,32.05,55,0,6.91,FI,1651722898
Pundaguitan,6.3711,126.1689,82.87,75,99,9.51,PH,1651722898
Okhotsk,59.3833,143.3,32.79,91,100,14.54,RU,1651722898
Felanitx,39.4696,3.1483,64.0,73,85,21.09,ES,1651722899
Puerto Escondido,15.85,-97.0667,81.43,74,0,4.61,MX,1651722899
Okha,53.5739,142.9478,35.64,91,100,19.04,RU,1651722900
Virginia Beach,36.8529,-75.978,70.02,91,100,7.61,US,1651722799
Katangli,51.7102,143.2326,33.78,98,100,12.01,RU,1651722900
Husavik,66.0449,-17.3389,31.46,93,100,0.87,IS,1651722901
Lethem,3.3803,-59.7968,75.94,80,98,4.05,GY,1651722901
Touros,-5.1989,-35.4608,76.37,93,90,11.01,BR,1651722633
Belford Roxo,-22.7642,-43.3994,77.29,88,75,5.75,BR,1651722901
Pringsewu,-5.3582,104.9744,89.51,55,45,3.0,ID,1651722902
Iqaluit,63.7506,-68.5145,6.53,78,20,23.02,CA,1651722902
Līvāni,56.3543,26.1758,39.04,62,100,4.05,LV,1651722903
Cherskiy,68.75,161.3,33.15,98,100,3.76,RU,1651722903
Cumbitara,1.6517,-77.5823,59.7,97,98,1.72,CO,1651722904
Soe,-9.8607,124.284,79.07,65,57,6.85,ID,1651722904
Kalmunai,7.4167,81.8167,86.77,68,52,3.85,LK,1651722905
Madimba,-10.4,40.3333,72.7,91,67,10.2,TZ,1651722905
Roald,62.5833,6.1333,46.33,81,40,16.11,NO,1651722906
Chokurdakh,70.6333,147.9167,24.89,82,99,6.69,RU,1651722906
Natal,-5.795,-35.2094,79.02,94,40,4.61,BR,1651722906
Renqiu,38.6989,116.0936,90.59,21,52,20.33,CN,1651722907
Severo-Kuril'sk,50.6789,156.125,34.83,92,80,11.27,RU,1651722907
San Jose,37.3394,-121.895,66.7,65,20,10.36,US,1651722580
Provideniya,64.3833,-173.3,28.51,80,20,8.99,RU,1651722908
Maceió,-9.6658,-35.7353,76.44,94,40,3.44,BR,1651722908
Pokhara,28.2333,83.9833,72.39,77,85,5.46,NP,1651722904
Oyama,36.3,139.8,79.59,29,84,6.44,JP,1651722909
Clarence Town,-32.5833,151.7833,74.86,64,28,5.77,AU,1651722909
Beihai,21.4833,109.1,78.42,68,100,7.38,CN,1651722909
Gloucester,51.8657,-2.2431,48.69,86,18,3.22,GB,1651722530
Ortaköy,38.7373,34.0387,44.85,83,58,10.13,TR,1651722910
Kjøllefjord,70.9457,27.3465,26.65,63,40,12.66,NO,1651722910
San Andrés del Rabanedo,42.6117,-5.6167,45.32,93,100,3.44,ES,1651722911
Mossamedes,-15.1961,12.1522,77.74,58,2,2.06,AO,1651722911
Ilebo,-4.3167,20.5833,69.51,88,62,1.88,CD,1651722912
Sola,-13.8833,167.55,81.75,71,21,3.76,VU,1651722912
Longyearbyen,78.2186,15.6401,19.24,63,20,0.0,SJ,1651722912
Sibolga,1.7427,98.7792,83.35,76,100,4.81,ID,1651722913
Los Llanos de Aridane,28.6585,-17.9182,60.55,79,100,9.22,ES,1651722913
Ani-e,8.6136,124.8706,77.77,75,100,2.44,PH,1651722914
Poya,-21.35,165.15,79.0,76,50,7.85,NC,1651722914
Buala,-8.145,159.5921,85.17,68,33,3.62,SB,1651722914
Fort Nelson,58.8053,-122.7002,54.99,33,20,4.61,CA,1651722915
Itarema,-2.9248,-39.9167,76.5,90,100,8.81,BR,1651722635
Awjilah,29.1081,21.2869,63.95,36,5,8.52,LY,1651722915
Semey,50.4111,80.2275,57.42,23,0,11.18,KZ,1651722635
Port Hardy,50.6996,-127.4199,46.58,93,100,2.3,CA,1651722916
Meulaboh,4.1363,96.1285,80.56,85,99,3.76,ID,1651722916
Anadyr,64.75,177.4833,32.5,74,0,6.71,RU,1651722917
Cabrobó,-8.5142,-39.31,73.29,80,99,10.54,BR,1651722917
Mogadishu,2.0371,45.3438,78.67,73,40,5.75,SO,1651722650
Boyuibe,-20.4167,-63.2833,51.73,65,0,3.06,BO,1651722918
Brae,60.3964,-1.353,46.58,79,100,11.12,GB,1651722918
Örnsköldsvik,63.2909,18.7153,34.75,100,100,3.44,SE,1651722918
São Félix do Xingu,-6.6447,-51.995,70.88,94,84,1.19,BR,1651722919
Piopio,-38.4667,175.0167,65.79,53,9,1.41,NZ,1651722919
Morros,-9.4467,-46.3003,73.02,73,76,3.76,BR,1651722920
Taganak,6.0833,118.3,87.94,75,100,5.61,PH,1651722920
Tilichiki,60.4667,166.1,31.8,88,93,9.13,RU,1651722921
Port Macquarie,-31.4333,152.9167,72.9,66,96,8.75,AU,1651722921
Luebo,-5.35,21.4167,69.73,87,84,1.32,CD,1651722921
Pavlovsk,50.4578,40.1081,42.58,69,82,15.9,RU,1651722922
Norman Wells,65.282,-126.8329,37.44,81,75,12.66,CA,1651722922
Opatija,45.3392,14.3083,55.2,86,72,3.22,HR,1651722923
Saddiqabad,28.3062,70.1307,95.18,23,0,11.16,PK,1651722923
Inírida,3.8653,-67.9239,73.53,98,97,0.56,CO,1651722924
Smirnykh,49.75,142.8333,45.21,79,100,11.54,RU,1651722924
Kutum,14.2,24.6667,75.34,16,61,8.46,SD,1651722925
Sitka,57.0531,-135.33,41.07,89,100,4.32,US,1651722925
Mīnāb,27.1467,57.0801,88.81,33,0,3.71,IR,1651722925
Dalby,-27.1833,151.2667,82.98,43,52,3.0,AU,1651722926
Consett,54.854,-1.8316,45.25,88,88,6.33,GB,1651722926
George Town,5.4112,100.3354,89.53,74,20,7.0,MY,1651722927
Methóni,36.8197,21.7049,58.21,76,0,6.02,GR,1651722927
Dvinskoy,62.1535,45.1175,32.52,59,70,6.73,RU,1651722927
Cayenne,4.9333,-52.3333,78.1,1,100,3.44,GF,1651722928
Polis,35.0367,32.4264,64.22,78,54,9.8,CY,1651722928
Dingle,10.9995,122.6711,89.33,58,94,12.28,PH,1651722929
Whitecourt,54.1502,-115.6855,54.64,62,75,5.75,CA,1651722929
Moussoro,13.6408,16.4901,86.65,23,97,4.09,TD,1651722929
Cotonou,6.3654,2.4183,76.98,83,40,3.44,BJ,1651722930
Nola,40.922,14.5329,61.93,73,66,4.97,IT,1651722930
Kyabé,9.4515,18.9449,76.64,72,90,4.45,TD,1651722931
North Bend,43.4065,-124.2243,52.92,90,40,0.0,US,1651722931
Gejiu,23.306,103.1635,56.19,75,100,2.86,CN,1651722932
Arrondissement de Saint-Denis,48.9167,2.3333,52.11,88,75,8.05,FR,1651722932
Province of Mantua,45.1667,10.7833,52.99,86,80,2.3,IT,1651722933
Iskateley,67.6803,53.1512,20.03,94,84,3.87,RU,1651722648
Burnie,-41.0667,145.9167,58.95,51,84,5.93,AU,1651722933
Udarnyy,54.3409,42.8611,36.61,67,9,10.0,RU,1651722934
Yarkovo,57.4028,67.0786,57.42,35,15,9.69,RU,1651722934
Waupun,43.6333,-88.7296,45.52,86,94,4.32,US,1651722934
Birao,10.2849,22.7882,78.37,59,64,3.09,CF,1651722935
Seymchan,62.8833,152.4333,37.24,69,25,4.83,RU,1651722935
Alta Floresta,-9.8756,-56.0861,70.3,95,58,1.16,BR,1651722870
Uiraúna,-6.5183,-38.4122,71.46,85,83,3.33,BR,1651722936
Kungurtug,50.5994,97.5228,46.78,21,21,3.6,RU,1651722936
Burladingen,48.2833,9.1167,45.86,90,95,0.31,DE,1651722937
Boshan,36.4833,117.8333,80.92,24,29,22.55,CN,1651722937
San Patricio,28.017,-97.5169,81.9,88,100,9.73,US,1651722937
Damaturu,11.747,11.9608,84.43,47,51,6.96,NG,1651722938
La Romana,18.4273,-68.9728,75.56,94,20,9.22,DO,1651722938
Bethel,41.3712,-73.414,57.29,85,75,9.22,US,1651722938
Puerto Madryn,-42.7692,-65.0385,61.74,57,74,9.84,AR,1651722656
Egvekinot,66.3167,-179.1667,24.28,77,46,2.48,RU,1651722939
Severo-Yeniseyskiy,60.3725,93.0408,39.85,76,90,9.95,RU,1651722939
Pleshanovo,52.8333,53.4833,55.22,53,35,15.7,RU,1651722940
Ahipara,-35.1667,173.1667,68.47,64,20,7.96,NZ,1651722940
Eravur,7.7733,81.6095,86.47,68,29,0.51,LK,1651722941
Changping,40.2186,116.2197,80.24,18,66,7.81,CN,1651722941
Ingham,42.6,-84.3833,46.35,88,0,3.44,US,1651722941
Ulladulla,-35.35,150.4667,69.76,79,57,7.07,AU,1651722942
Hofn,64.2539,-15.2082,40.66,72,100,3.85,IS,1651722942
Karatsu,33.4425,129.9697,78.69,57,0,6.17,JP,1651722779
Kiama,-34.6833,150.8667,73.38,71,25,1.01,AU,1651722634
Yibin,28.7667,104.6238,82.11,45,100,1.41,CN,1651722943
Isangel,-19.55,169.2667,84.31,74,40,6.91,VU,1651722943
Vigevano,45.3117,8.8611,60.22,88,98,2.08,IT,1651722944
Qaanaaq,77.484,-69.3632,16.7,93,100,5.21,GL,1651722944
Sobolevo,54.4299,31.8996,36.3,53,13,2.95,RU,1651722944
Alice Springs,-23.7,133.8833,69.22,32,40,14.97,AU,1651722938
Ilmajoki,62.7333,22.5667,37.98,64,0,9.22,FI,1651722945
Khanbari,27.3747,87.2039,73.0,73,69,1.92,NP,1651722945
Topolobampo,25.6,-109.05,68.43,76,1,3.65,MX,1651722946
Susanville,40.4163,-120.653,64.24,34,0,8.05,US,1651722946
Goderich,43.7501,-81.7165,40.91,81,36,4.61,CA,1651722883
Quryq,43.2,51.65,69.13,34,5,14.94,KZ,1651722947
Azare,11.6765,10.1948,84.2,42,55,6.6,NG,1651722947
Guiratinga,-16.3494,-53.7583,59.34,64,1,2.37,BR,1651722947
Gīdam,18.9833,81.4,95.32,34,56,4.65,IN,1651722948
Caravelas,-17.7125,-39.2481,77.59,88,1,9.57,BR,1651722948
Kupang,-10.1667,123.5833,88.29,61,65,11.5,ID,1651722949
Deniliquin,-35.5333,144.9667,58.42,37,2,9.06,AU,1651722949
Douglas,41.3,-96.167,51.66,86,100,4.61,US,1651722949
Hūn,29.1268,15.9477,68.5,30,33,17.72,LY,1651722950
Kensington,-33.9167,151.2167,74.79,61,75,11.5,AU,1651722950
Elban,50.1018,136.5094,57.51,49,100,9.17,RU,1651722950
Waitati,-45.75,170.5667,57.79,81,13,3.09,NZ,1651722951
Mayna,54.1135,47.6231,37.89,85,99,13.8,RU,1651722951
Kiryat Gat,31.61,34.7642,61.39,100,16,8.93,IL,1651722632
Mishkino,55.3389,63.9175,58.3,37,3,10.38,RU,1651722952
Dukhovshchina,55.1919,32.4111,35.37,53,22,3.36,RU,1651722952
Bilibino,68.0546,166.4372,32.58,94,99,2.89,RU,1651722953
Beïnamar,8.6698,15.3813,78.84,68,100,6.8,TD,1651722953
Martapura,-3.4167,114.85,87.89,70,40,2.3,ID,1651722953
